# bin_left_ns bin_right_ns counts
378.2846 378.9416 0
378.9416 379.5986 0
379.5986 380.2556 0
380.2556 380.9125 0
380.9125 381.5695 0
381.5695 382.2265 1
382.2265 382.8835 1
382.8835 383.5405 1
383.5405 384.1975 0
384.1975 384.8544 0
384.8544 385.5114 0
385.5114 386.1684 0
386.1684 386.8254 0
386.8254 387.4824 0
387.4824 388.1394 0
388.1394 388.7963 0
388.7963 389.4533 1
389.4533 390.1103 0
390.1103 390.7673 0
390.7673 391.4243 0
391.4243 392.0813 0
392.0813 392.7382 1
392.7382 393.3952 0
393.3952 394.0522 0
394.0522 394.7092 1
394.7092 395.3662 0
395.3662 396.0232 0
396.0232 396.6801 0
396.6801 397.3371 0
397.3371 397.9941 0
397.9941 398.6511 0
398.6511 399.3081 2
399.3081 399.9651 0
399.9651 400.6220 0
400.6220 401.2790 0
401.2790 401.9360 1
401.9360 402.5930 0
402.5930 403.2500 0
403.2500 403.9070 0
403.9070 404.5640 0
404.5640 405.2209 0
405.2209 405.8779 1
405.8779 406.5349 0
406.5349 407.1919 1
407.1919 407.8489 2
407.8489 408.5059 0
408.5059 409.1628 0
409.1628 409.8198 1
409.8198 410.4768 0
410.4768 411.1338 1
411.1338 411.7908 1
411.7908 412.4478 2
412.4478 413.1047 0
413.1047 413.7617 1
413.7617 414.4187 0
414.4187 415.0757 0
415.0757 415.7327 0
415.7327 416.3897 0
416.3897 417.0466 1
417.0466 417.7036 0
417.7036 418.3606 0
418.3606 419.0176 1
419.0176 419.6746 0
419.6746 420.3316 0
420.3316 420.9885 1
420.9885 421.6455 0
421.6455 422.3025 0
422.3025 422.9595 0
422.9595 423.6165 1
423.6165 424.2735 0
424.2735 424.9304 0
424.9304 425.5874 1
425.5874 426.2444 1
426.2444 426.9014 0
426.9014 427.5584 0
427.5584 428.2154 0
428.2154 428.8724 0
428.8724 429.5293 1
429.5293 430.1863 0
430.1863 430.8433 1
430.8433 431.5003 1
431.5003 432.1573 0
432.1573 432.8143 0
432.8143 433.4712 0
433.4712 434.1282 1
434.1282 434.7852 0
434.7852 435.4422 0
435.4422 436.0992 0
436.0992 436.7562 0
436.7562 437.4131 2
437.4131 438.0701 1
438.0701 438.7271 0
438.7271 439.3841 2
439.3841 440.0411 0
440.0411 440.6981 1
440.6981 441.3550 1
441.3550 442.0120 1
442.0120 442.6690 0
442.6690 443.3260 0
443.3260 443.9830 0
443.9830 444.6400 1
444.6400 445.2969 0
445.2969 445.9539 0
445.9539 446.6109 0
446.6109 447.2679 0
447.2679 447.9249 1
447.9249 448.5819 0
448.5819 449.2388 1
449.2388 449.8958 2
449.8958 450.5528 1
450.5528 451.2098 0
451.2098 451.8668 2
451.8668 452.5238 1
452.5238 453.1808 1
453.1808 453.8377 1
453.8377 454.4947 0
454.4947 455.1517 0
455.1517 455.8087 0
455.8087 456.4657 0
456.4657 457.1227 0
457.1227 457.7796 0
457.7796 458.4366 0
458.4366 459.0936 0
459.0936 459.7506 0
459.7506 460.4076 0
460.4076 461.0646 0
461.0646 461.7215 0
461.7215 462.3785 0
462.3785 463.0355 1
463.0355 463.6925 0
463.6925 464.3495 0
464.3495 465.0065 0
465.0065 465.6634 0
465.6634 466.3204 2
466.3204 466.9774 0
466.9774 467.6344 0
467.6344 468.2914 0
468.2914 468.9484 0
468.9484 469.6053 0
469.6053 470.2623 0
470.2623 470.9193 0
470.9193 471.5763 0
471.5763 472.2333 0
472.2333 472.8903 0
472.8903 473.5472 0
473.5472 474.2042 1
474.2042 474.8612 0
474.8612 475.5182 2
475.5182 476.1752 0
476.1752 476.8322 0
476.8322 477.4891 0
477.4891 478.1461 1
478.1461 478.8031 0
478.8031 479.4601 1
479.4601 480.1171 0
480.1171 480.7741 0
480.7741 481.4311 0
481.4311 482.0880 0
482.0880 482.7450 0
482.7450 483.4020 0
483.4020 484.0590 1
484.0590 484.7160 2
484.7160 485.3730 1
485.3730 486.0299 0
486.0299 486.6869 0
486.6869 487.3439 0
487.3439 488.0009 0
488.0009 488.6579 0
488.6579 489.3149 0
489.3149 489.9718 0
489.9718 490.6288 0
490.6288 491.2858 1
491.2858 491.9428 0
491.9428 492.5998 0
492.5998 493.2568 0
493.2568 493.9137 1
493.9137 494.5707 1
494.5707 495.2277 0
495.2277 495.8847 1
495.8847 496.5417 0
496.5417 497.1987 1
497.1987 497.8556 0
497.8556 498.5126 0
498.5126 499.1696 0
499.1696 499.8266 0
499.8266 500.4836 0
500.4836 501.1406 0
501.1406 501.7975 0
501.7975 502.4545 0
502.4545 503.1115 0
503.1115 503.7685 0
503.7685 504.4255 2
504.4255 505.0825 0
505.0825 505.7395 0
505.7395 506.3964 0
506.3964 507.0534 1
507.0534 507.7104 0
507.7104 508.3674 0
508.3674 509.0244 1
509.0244 509.6814 0
509.6814 510.3383 1
510.3383 510.9953 0
510.9953 511.6523 0
511.6523 512.3093 0
512.3093 512.9663 0
512.9663 513.6233 1
513.6233 514.2802 1
514.2802 514.9372 0
514.9372 515.5942 1
515.5942 516.2512 0
516.2512 516.9082 0
516.9082 517.5652 1
517.5652 518.2221 0
518.2221 518.8791 0
518.8791 519.5361 0
519.5361 520.1931 0
520.1931 520.8501 0
520.8501 521.5071 0
521.5071 522.1640 0
522.1640 522.8210 0
522.8210 523.4780 0
523.4780 524.1350 0
524.1350 524.7920 0
524.7920 525.4490 0
525.4490 526.1059 0
526.1059 526.7629 0
526.7629 527.4199 0
527.4199 528.0769 2
528.0769 528.7339 1
528.7339 529.3909 0
529.3909 530.0479 0
530.0479 530.7048 1
530.7048 531.3618 0
531.3618 532.0188 0
532.0188 532.6758 1
532.6758 533.3328 0
533.3328 533.9898 0
533.9898 534.6467 0
534.6467 535.3037 0
535.3037 535.9607 0
535.9607 536.6177 0
536.6177 537.2747 0
537.2747 537.9317 0
537.9317 538.5886 0
538.5886 539.2456 0
539.2456 539.9026 0
539.9026 540.5596 0
540.5596 541.2166 1
541.2166 541.8736 1
541.8736 542.5305 0
542.5305 543.1875 1
543.1875 543.8445 0
543.8445 544.5015 0
544.5015 545.1585 1
545.1585 545.8155 0
545.8155 546.4724 0
546.4724 547.1294 0
547.1294 547.7864 1
547.7864 548.4434 1
548.4434 549.1004 0
549.1004 549.7574 2
549.7574 550.4143 0
550.4143 551.0713 0
551.0713 551.7283 0
551.7283 552.3853 0
552.3853 553.0423 1
553.0423 553.6993 1
553.6993 554.3563 0
554.3563 555.0132 0
555.0132 555.6702 0
555.6702 556.3272 0
556.3272 556.9842 0
556.9842 557.6412 0
557.6412 558.2982 0
558.2982 558.9551 0
558.9551 559.6121 0
559.6121 560.2691 0
560.2691 560.9261 0
560.9261 561.5831 0
561.5831 562.2401 0
562.2401 562.8970 0
562.8970 563.5540 0
563.5540 564.2110 0
564.2110 564.8680 0
564.8680 565.5250 0
565.5250 566.1820 0
566.1820 566.8389 0
566.8389 567.4959 0
567.4959 568.1529 0
568.1529 568.8099 0
568.8099 569.4669 0
569.4669 570.1239 0
570.1239 570.7808 0
570.7808 571.4378 0
571.4378 572.0948 0
572.0948 572.7518 0
572.7518 573.4088 0
573.4088 574.0658 0
574.0658 574.7227 1
574.7227 575.3797 0
575.3797 576.0367 0
576.0367 576.6937 0
576.6937 577.3507 0
577.3507 578.0077 0
578.0077 578.6647 0
578.6647 579.3216 0
579.3216 579.9786 0
579.9786 580.6356 0
580.6356 581.2926 0
581.2926 581.9496 0
581.9496 582.6066 0
582.6066 583.2635 1
583.2635 583.9205 1
583.9205 584.5775 0
584.5775 585.2345 0
585.2345 585.8915 0
585.8915 586.5485 0
586.5485 587.2054 0
587.2054 587.8624 0
587.8624 588.5194 0
588.5194 589.1764 0
589.1764 589.8334 1
589.8334 590.4904 0
590.4904 591.1473 0
591.1473 591.8043 0
591.8043 592.4613 0
592.4613 593.1183 0
593.1183 593.7753 0
593.7753 594.4323 0
594.4323 595.0892 0
595.0892 595.7462 0
595.7462 596.4032 0
596.4032 597.0602 0
597.0602 597.7172 0
597.7172 598.3742 1
598.3742 599.0311 0
599.0311 599.6881 0
599.6881 600.3451 2
600.3451 601.0021 0
601.0021 601.6591 0
601.6591 602.3161 0
602.3161 602.9730 0
602.9730 603.6300 1
603.6300 604.2870 0
604.2870 604.9440 1
604.9440 605.6010 1
605.6010 606.2580 0
606.2580 606.9150 0
606.9150 607.5719 0
607.5719 608.2289 0
608.2289 608.8859 0
608.8859 609.5429 0
609.5429 610.1999 0
610.1999 610.8569 0
610.8569 611.5138 0
611.5138 612.1708 1
612.1708 612.8278 0
612.8278 613.4848 1
613.4848 614.1418 0
614.1418 614.7988 1
614.7988 615.4557 0
615.4557 616.1127 0
616.1127 616.7697 0
616.7697 617.4267 0
617.4267 618.0837 0
618.0837 618.7407 0
618.7407 619.3976 0
619.3976 620.0546 0
620.0546 620.7116 0
620.7116 621.3686 1
621.3686 622.0256 0
622.0256 622.6826 1
622.6826 623.3395 0
623.3395 623.9965 0
623.9965 624.6535 0
624.6535 625.3105 0
